latitude;longitude;altitude;distance;sin
-12.46332;130.83807;37.7;0;-0.020833
-12.51568;131.030615;37.8;28.282;0.016923
-13.39979;131.27518;84.7;141.994;0.026786
-14.22849;132.04064;132.1;280.18;0.0095238
-15.53097;133.2038;191.3;494.192;-0.0042254
-16.769547;133.429337;233.7;646.231;0.0032609
-18.736118;133.999515;308.5;881.981;-0.0054945
-20.785342;134.238237;358.6;1122.72;-0.0030928
-21.57783;133.801;525;1226.988;-0.0055556
-22.944769;133.538836;640.7;1404.706;-0.0072917
-23.994;133.67158;595.1;1541.7;-0.0085106
-24.813019;133.186974;427.8;1656.082;-0.0021739
-26.68647;133.29591;398.8;1873.939;0.0022989
-27.81326;134.0205;309.5;2023.356;0.013095
-29.700265;135.131625;236.7;2276.529;-0.0047059
-31.15542;136.04333;159.6;2476.654;-0.0052632
-31.469294;137.050843;103.7;2587.232;0.013402
-33.42321;138.15737;66.9;2843.531;-0.012088
-34.92869;138.59996;44.7;3031.539;0